original_name,predicted_label,confidence,final_class,new_name,top3
acorn_squash.jpg,watermelon,0.9736,watermelon,watermelon_acorn_squash.jpg,watermelon:0.97; onion:0.01; cabbage:0.01
baingan.jpg,jalepeno,0.8861,jalepeno,jalepeno_baingan.jpg,jalepeno:0.89; chilli pepper:0.06; pear:0.05
banana.jpg,banana,0.9898,banana,banana_banana.jpg,banana:0.99; lemon:0.01; mango:0.00
baseball.jpg,kiwi,0.6328,kiwi,kiwi_baseball.jpg,kiwi:0.63; soy beans:0.18; sweetcorn:0.09
blue berry.jpg,eggplant,0.9964,eggplant,eggplant_blue berry.jpg,eggplant:1.00; jalepeno:0.00; bell pepper:0.00
broccoli.jpg,lettuce,0.9989,lettuce,lettuce_broccoli.jpg,lettuce:1.00; raddish:0.00; cabbage:0.00
broom.jpg,beetroot,0.4737,unclassified,unclassified_broom.jpg,beetroot:0.47; turnip:0.42; lettuce:0.03
broom_2.jpg,lettuce,0.8281,lettuce,lettuce_broom_2.jpg,lettuce:0.83; cabbage:0.10; turnip:0.04
buckeye.png,eggplant,0.9934,eggplant,eggplant_buckeye.png,eggplant:0.99; cucumber:0.00; jalepeno:0.00
butternut_squash.jpg,ginger,0.6019,ginger,ginger_butternut_squash.jpg,ginger:0.60; sweetpotato:0.38; potato:0.02
cauliflower.png,cauliflower,0.9996,cauliflower,cauliflower_cauliflower.png,cauliflower:1.00; lemon:0.00; cabbage:0.00
cauliflower_2.png,cauliflower,0.9996,cauliflower,cauliflower_cauliflower_2.png,cauliflower:1.00; lemon:0.00; cabbage:0.00
coil.jpg,peas,0.3178,unclassified,unclassified_coil.jpg,peas:0.32; banana:0.27; soy beans:0.22
coil_2.jpg,cabbage,0.2864,unclassified,unclassified_coil_2.jpg,cabbage:0.29; cucumber:0.20; onion:0.16
conch.jpg,garlic,0.9896,garlic,garlic_conch.jpg,garlic:0.99; onion:0.00; ginger:0.00
cucumber.jpg,soy beans,0.7019,soy beans,soy beans_cucumber.jpg,soy beans:0.70; peas:0.11; chilli pepper:0.10
cucumber.png,jalepeno,0.4255,unclassified,unclassified_cucumber.png,jalepeno:0.43; eggplant:0.23; cucumber:0.09
cucumber_2.jpg,cucumber,0.9998,cucumber,cucumber_cucumber_2.jpg,cucumber:1.00; jalepeno:0.00; eggplant:0.00
cucumber_2.png,cucumber,1.0,cucumber,cucumber_cucumber_2.png,cucumber:1.00; jalepeno:0.00; sweetcorn:0.00
cucumber_3.jpg,cucumber,0.9872,cucumber,cucumber_cucumber_3.jpg,cucumber:0.99; jalepeno:0.01; watermelon:0.00
cucumber_3.png,peas,1.0,peas,peas_cucumber_3.png,peas:1.00; soy beans:0.00; cucumber:0.00
cucumber_4.jpg,watermelon,1.0,watermelon,watermelon_cucumber_4.jpg,watermelon:1.00; jalepeno:0.00; tomato:0.00
cucumber_4.png,cucumber,0.9999,cucumber,cucumber_cucumber_4.png,cucumber:1.00; jalepeno:0.00; eggplant:0.00
cucumber_5.png,cucumber,1.0,cucumber,cucumber_cucumber_5.png,cucumber:1.00; jalepeno:0.00; eggplant:0.00
digital_clock.png,raddish,0.3854,unclassified,unclassified_digital_clock.png,raddish:0.39; orange:0.12; apple:0.10
dough.png,potato,0.9638,potato,potato_dough.png,potato:0.96; sweetpotato:0.03; paprika:0.00
dough_2.png,potato,0.6557,potato,potato_dough_2.png,potato:0.66; sweetpotato:0.15; ginger:0.14
ear.jpg,cucumber,0.9498,cucumber,cucumber_ear.jpg,cucumber:0.95; raddish:0.03; corn:0.01
ear.png,sweetcorn,0.9885,sweetcorn,sweetcorn_ear.png,sweetcorn:0.99; corn:0.01; pineapple:0.00
eggnog.jpg,ginger,0.4942,unclassified,unclassified_eggnog.jpg,ginger:0.49; potato:0.29; sweetpotato:0.14
face_powder.jpg,ginger,0.4376,unclassified,unclassified_face_powder.jpg,ginger:0.44; onion:0.32; sweetpotato:0.11
face_powder.png,turnip,0.9173,turnip,turnip_face_powder.png,turnip:0.92; potato:0.03; raddish:0.01
fig.jpg,eggplant,0.9801,eggplant,eggplant_fig.jpg,eggplant:0.98; turnip:0.01; beetroot:0.00
fig_2.jpg,mango,0.601,mango,mango_fig_2.jpg,mango:0.60; lemon:0.27; pear:0.09
fig_3.jpg,beetroot,0.3241,unclassified,unclassified_fig_3.jpg,beetroot:0.32; paprika:0.19; potato:0.09
fig_4.jpg,grapes,0.9999,grapes,grapes_fig_4.jpg,grapes:1.00; corn:0.00; banana:0.00
french_loaf.jpg,potato,0.9214,potato,potato_french_loaf.jpg,potato:0.92; sweetpotato:0.08; ginger:0.00
french_loaf.png,raddish,0.9622,raddish,raddish_french_loaf.png,raddish:0.96; turnip:0.04; spinach:0.00
french_loaf_2.jpg,potato,0.5133,unclassified,unclassified_french_loaf_2.jpg,potato:0.51; corn:0.15; sweetpotato:0.11
french_loaf_3.jpg,sweetpotato,0.9901,sweetpotato,sweetpotato_french_loaf_3.jpg,sweetpotato:0.99; potato:0.01; carrot:0.00
french_loaf_4.jpg,ginger,0.9986,ginger,ginger_french_loaf_4.jpg,ginger:1.00; sweetpotato:0.00; potato:0.00
french_loaf_5.jpg,carrot,0.9069,carrot,carrot_french_loaf_5.jpg,carrot:0.91; sweetpotato:0.06; sweetcorn:0.03
gila_monster.jpg,ginger,0.4242,unclassified,unclassified_gila_monster.jpg,ginger:0.42; sweetpotato:0.40; potato:0.16
granny_smith.jpg,mango,0.6892,mango,mango_granny_smith.jpg,mango:0.69; tomato:0.22; apple:0.04
granny_smith.png,cucumber,0.315,unclassified,unclassified_granny_smith.png,cucumber:0.32; peas:0.23; soy beans:0.11
granny_smith_2.jpg,apple,0.9043,apple,apple_granny_smith_2.jpg,apple:0.90; pear:0.04; jalepeno:0.02
granny_smith_2.png,raddish,0.3393,unclassified,unclassified_granny_smith_2.png,raddish:0.34; tomato:0.14; peas:0.13
granny_smith_3.jpg,jalepeno,0.7246,jalepeno,jalepeno_granny_smith_3.jpg,jalepeno:0.72; cucumber:0.26; peas:0.01
granny_smith_3.png,apple,0.9771,apple,apple_granny_smith_3.png,apple:0.98; tomato:0.02; pear:0.00
granny_smith_4.jpg,pear,0.9998,pear,pear_granny_smith_4.jpg,pear:1.00; mango:0.00; jalepeno:0.00
granny_smith_4.png,mango,0.4437,unclassified,unclassified_granny_smith_4.png,mango:0.44; apple:0.16; peas:0.10
granny_smith_5.jpg,apple,0.9912,apple,apple_granny_smith_5.jpg,apple:0.99; pear:0.00; paprika:0.00
hair_slide.jpg,corn,0.6726,corn,corn_hair_slide.jpg,corn:0.67; cucumber:0.11; raddish:0.05
hair_slide_2.jpg,grapes,0.9998,grapes,grapes_hair_slide_2.jpg,grapes:1.00; lemon:0.00; peas:0.00
hamper.jpg,soy beans,0.3267,unclassified,unclassified_hamper.jpg,soy beans:0.33; spinach:0.09; lettuce:0.08
hamper.png,bell pepper,0.1459,unclassified,unclassified_hamper.png,bell pepper:0.15; peas:0.12; mango:0.11
hamper_2.jpg,grapes,0.9187,grapes,grapes_hamper_2.jpg,grapes:0.92; eggplant:0.02; ginger:0.01
hamper_2.png,sweetpotato,0.5451,unclassified,unclassified_hamper_2.png,sweetpotato:0.55; ginger:0.28; potato:0.08
hamper_3.jpg,spinach,0.6342,spinach,spinach_hamper_3.jpg,spinach:0.63; peas:0.22; cucumber:0.08
hamper_3.png,spinach,0.5043,unclassified,unclassified_hamper_3.png,spinach:0.50; sweetcorn:0.09; peas:0.08
hamper_4.jpg,apple,0.3101,unclassified,unclassified_hamper_4.jpg,apple:0.31; onion:0.24; tomato:0.19
hamper_5.jpg,cucumber,0.9776,cucumber,cucumber_hamper_5.jpg,cucumber:0.98; peas:0.00; spinach:0.00
hamper_6.jpg,onion,1.0,onion,onion_hamper_6.jpg,onion:1.00; sweetpotato:0.00; pomegranate:0.00
head_cabbage.jpg,cabbage,0.8076,cabbage,cabbage_head_cabbage.jpg,cabbage:0.81; lemon:0.16; spinach:0.02
head_cabbage.png,turnip,0.9999,turnip,turnip_head_cabbage.png,turnip:1.00; beetroot:0.00; raddish:0.00
head_cabbage_2.jpg,lettuce,0.8295,lettuce,lettuce_head_cabbage_2.jpg,lettuce:0.83; soy beans:0.08; spinach:0.05
head_cabbage_2.png,cabbage,1.0,cabbage,cabbage_head_cabbage_2.png,cabbage:1.00; onion:0.00; pineapple:0.00
head_cabbage_3.jpg,turnip,0.9503,turnip,turnip_head_cabbage_3.jpg,turnip:0.95; eggplant:0.01; cauliflower:0.01
head_cabbage_4.jpg,beetroot,1.0,beetroot,beetroot_head_cabbage_4.jpg,beetroot:1.00; turnip:0.00; onion:0.00
head_cabbage_5.jpg,lettuce,0.9997,lettuce,lettuce_head_cabbage_5.jpg,lettuce:1.00; cabbage:0.00; turnip:0.00
head_cabbage_6.jpg,spinach,0.9991,spinach,spinach_head_cabbage_6.jpg,spinach:1.00; beetroot:0.00; turnip:0.00
jackfruit.jpg,lemon,0.5648,unclassified,unclassified_jackfruit.jpg,lemon:0.56; kiwi:0.21; peas:0.07
kacha_banana.jpg,banana,0.9952,banana,banana_kacha_banana.jpg,banana:1.00; raddish:0.00; cucumber:0.00
knot.jpg,carrot,0.9991,carrot,carrot_knot.jpg,carrot:1.00; sweetpotato:0.00; paprika:0.00
lauki.jpg,banana,0.9242,banana,banana_lauki.jpg,banana:0.92; raddish:0.02; jalepeno:0.01
lemon.jpg,pear,0.9994,pear,pear_lemon.jpg,pear:1.00; jalepeno:0.00; lemon:0.00
lemon.png,apple,0.4452,unclassified,unclassified_lemon.png,apple:0.45; kiwi:0.17; peas:0.13
lemon_2.jpg,lemon,0.9999,lemon,lemon_lemon_2.jpg,lemon:1.00; orange:0.00; mango:0.00
lemon_3.jpg,kiwi,1.0,kiwi,kiwi_lemon_3.jpg,kiwi:1.00; onion:0.00; lemon:0.00
lemon_4.jpg,lemon,0.9999,lemon,lemon_lemon_4.jpg,lemon:1.00; orange:0.00; mango:0.00
lotion.jpg,garlic,0.9991,garlic,garlic_lotion.jpg,garlic:1.00; onion:0.00; pineapple:0.00
